tournament/smash-con-coca/event/ultimate-singles,Smash con Coca,Singles,,Cordoba,31/05/2025
tournament/ragnarok-2025/event/ragnarok-ssbu,Ragnarok 2025,Singles,90860796|90860798|90860800|90860802|90860808|90860868|90860869|90860870|90860871|90860874,Cordoba,29/06/2025
tournament/smash-con-coca-2-2/event/ultimate-singles,Smash con Coca 2,Singles,92503233|92503270|92503277|92503381|92503389|92503397|92503394,Cordoba,09/08/2025
tournament/smash-con-coca-3/event/ultimate-singles,Smash con Coca 3,Singles,94415849|94415852|94415826|94415860|94415862|94415846|94415979|94415980|94415966|94415974|94415976|94415985,Cordoba,27/09/2025
tournament/piranha-garden-1/event/ultimate-singles,Piranha Garden 1,Singles,95198608|95198606|95198670|95198671,Cordoba,18/10/2025
tournament/piranha-garden-2/event/ultimate-singles,Piranha Garden 2,Singles,95350206|95350245,Cordoba,23/10/2025
tournament/piranha-garden-3/event/ultimate-singles,Piranha Garden 3,Singles,,Cordoba,02/11/2025
tournament/piranha-garden-4/event/ultimate-singles,Piranha Garden 4,Singles,95969113,Cordoba,07/11/2025
tournament/piranha-garden-5-1/event/ultimate-singles,Piranha Garden 5,Singles,96250468|96250497,Cordoba,14/11/2025
tournament/piranha-garden-6/event/ultimate-singles,Piranha Garden 6,Singles,96668250|96678680,Cordoba,22/11/2025
tournament/piranha-garden-7/event/ultimate-singles,Piranha Garden 7,Singles,96843868|96843866,Cordoba,28/11/2025
tournament/smash-con-coca-4-la-ultima-coca/event/ultimate-singles,Smash con Coca 4,Singles,97182711|97182743|97182727|97182751|97182731|97182756|97182855|97182871|97182861|97182865|97182869,Cordoba,07/12/2025
